kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,Target
11519187,CONFIRMED,2.440839436,0.968,509.5,14.4,21.29,986.0,223.8,4803.0,4.623,0.698,1.0
9757613,CONFIRMED,3.543919702,1.8717,507.0,38.2,1.21,652.0,42.68,3879.0,4.708,0.537,1.0
9529744,CONFIRMED,17.9346606,6.25,142.7,18.8,2.8,1002.0,238.78,6426.0,4.013,1.775,1.0
7282168,FALSE POSITIVE,0.56681727,1.779,35.9,9.1,0.42,1832.0,2676.11,5481.0,4.629,0.708,0.0
7967517,FALSE POSITIVE,0.579516759,1.342,27.0,9.8,0.6,2484.0,8953.61,6339.0,4.387,1.102,0.0
4349935,FALSE POSITIVE,0.792023257,3.2604,176.6,49.6,0.81,1300.0,678.05,4447.0,4.632,0.625,0.0
7269974,CONFIRMED,13.69942266,4.3409,1292.9,120.0,3.85,771.0,83.6,5541.0,4.332,1.089,1.0
6061119,CONFIRMED,27.807566216,4.21587,25391.1,748.1,13.84,554.0,22.24,5862.0,4.584,0.785,1.0
5792202,CONFIRMED,31.33046135,5.176,5073.8,117.2,6.5,481.0,12.61,5251.0,4.581,0.817,1.0
8753896,CONFIRMED,14.5123622,4.163,355.8,11.8,2.08,636.0,38.6,5094.0,4.469,0.87,1.0
5305451,FALSE POSITIVE,161.253747,25.322,2598.4,54.7,4.98,295.0,1.8,5570.0,4.573,0.803,0.0
8766285,FALSE POSITIVE,5.29730786,4.02,190.8,13.1,1.49,1044.0,281.21,5780.0,4.438,1.0,0.0
7429287,FALSE POSITIVE,358.66044,16.732,133.8,15.6,1.62,304.0,2.02,5619.0,4.07,1.406,0.0
10583181,FALSE POSITIVE,2.696354974,5.39585,245988.0,2717.0,80.71,1815.0,2560.78,6472.0,4.08,1.579,0.0
11904151,CONFIRMED,0.837491225,1.796,190.4,189.5,1.43,1980.0,3630.32,5676.0,4.347,1.044,1.0
8037145,CONFIRMED,12.75934489,3.5889,882.1,70.4,2.58,633.0,37.95,4963.0,4.501,0.826,1.0
6153407,CONFIRMED,5.99078221,1.699,69.9,8.6,1.03,987.0,223.93,5721.0,4.442,0.972,1.0
12068975,CONFIRMED,25.2100146,6.553,62.1,18.8,0.95,691.0,54.06,6003.0,4.303,1.109,1.0
11442793,CONFIRMED,210.6013843,11.9922,4159.3,232.4,7.7,342.0,3.22,5970.0,4.317,1.2,1.0
7303287,CONFIRMED,34.5439452,3.482,429.8,23.4,2.67,607.0,32.02,5933.0,4.342,1.115,1.0
6696580,CONFIRMED,77.086191,4.77,942.8,12.9,29.77,464.0,11.0,6228.0,4.441,1.049,1.0
10978763,CONFIRMED,4.97760447,2.5719,287.3,27.5,1.75,1023.0,258.91,5353.0,4.358,1.023,1.0
12070811,CONFIRMED,12.3935651,3.8896,916.6,35.8,2.66,677.0,49.68,5557.0,4.603,0.75,1.0
5309353,FALSE POSITIVE,1.376384817,1.745,365.9,47.8,1.47,1343.0,770.31,5278.0,4.591,0.746,0.0
8211521,FALSE POSITIVE,1.69421771,4.161,91.1,15.0,0.74,1274.0,621.89,5402.0,4.591,0.717,0.0
10743600,FALSE POSITIVE,0.8170226,2.974,167696.0,240.1,57.56,1947.0,3416.07,5780.0,4.438,1.0,0.0
8590527,FALSE POSITIVE,0.739769962,1.95901,20729.3,726.2,82.29,3013.0,19590.61,6465.0,3.947,1.847,0.0
5534814,FALSE POSITIVE,4.859386384,2.2757,6044.3,269.7,38.33,1114.0,364.23,6072.0,4.47,0.988,0.0
11249624,FALSE POSITIVE,65.583665567,5.01216,242398.0,1649.5,41.22,371.0,4.5,5516.0,4.65,0.666,0.0
10922659,CONFIRMED,31.2543238,5.662,438.0,14.7,2.29,635.0,38.54,6246.0,4.433,1.092,1.0
10748393,FALSE POSITIVE,386.39833,8.519,748.0,4.9,2.2,214.0,0.49,5284.0,4.523,0.812,0.0
7376983,CONFIRMED,3.64830183,1.9985,371.7,19.9,1.33,860.0,129.44,4769.0,4.622,0.714,1.0
10385682,FALSE POSITIVE,3.103730697,6.93402,369228.0,5143.6,75.28,1340.0,763.25,6075.0,4.422,1.091,0.0
9205938,CONFIRMED,199.66876,8.996,251.9,13.9,1.45,305.0,2.06,5678.0,4.409,0.921,1.0
8260234,FALSE POSITIVE,5.71483873,2.748,286.2,18.0,1.26,842.0,118.73,5193.0,4.535,0.755,0.0
8263752,FALSE POSITIVE,10.9938087,5.0403,1456.9,100.4,5.33,978.0,216.57,6553.0,4.366,1.157,0.0
11718389,CONFIRMED,5.94373492,1.847,301.0,13.2,1.14,674.0,48.82,4391.0,4.598,0.682,1.0
6599975,CONFIRMED,14.5565618,4.554,103.8,17.1,1.08,787.0,90.4,6065.0,4.452,1.061,1.0
5530882,FALSE POSITIVE,5.0825188,3.328,105.0,17.1,0.88,968.0,207.45,5706.0,4.561,0.834,0.0
