koi_depth,koi_duration,koi_insol,koi_model_snr,koi_period,koi_prad,koi_slogg,koi_srad,koi_steff,koi_teq
315517.0,5.24058,1560.4,6009.0,3.457078812,86.12,4.182,1.482,6526.0,1603.0
169.5,1.375,177.81,26.2,14.07969236,2.08,4.097,1.547,5821.0,931.0
186.6,1.773,2591.44,15.2,0.760941405,1.18,4.553,0.87,5629.0,1817.0
109.0,6.783,66.95,15.5,20.9254083,1.26,4.283,1.21,5821.0,729.0
1017.5,7.342,1.94,20.6,133.303247,2.67,4.474,0.864,5064.0,301.0
719.1,9.745,18.15,23.6,40.8777605,29.55,4.489,0.937,5930.0,526.0
42450.0,2.4845,64.64,307.5,12.940668656,22.94,4.572,0.809,5875.0,723.0
778.8,8.491,84.66,58.4,35.7353616,5.47,4.045,1.697,6366.0,774.0
381.5,6.9329,113.34,54.2,18.68405716,3.64,4.038,1.614,5548.0,832.0
1145.5,2.0799,2386.13,121.1,0.817026268,2.92,4.536,0.874,5619.0,1784.0
12831.0,5.7777,3775.07,366.8,2.27999662,20.74,4.051,1.691,6594.0,2000.0
169.8,6.519,803.03,26.9,2.61585431,1.28,4.497,0.945,6131.0,1358.0
50.5,5.381,79.36,6.8,50.563697,1.57,4.018,2.022,6759.0,761.0
1375.1,1.7752,336.16,35.0,3.609313059,3.26,4.545,0.868,5668.0,1092.0
1055.4,5.6098,13.22,95.0,41.74938613,2.94,4.473,0.914,5506.0,486.0
126.7,3.231,159.24,15.8,7.81100952,1.36,4.324,1.071,5395.0,906.0
658.8,7.474,3.68,37.9,92.8747294,2.64,4.57,0.839,5497.0,353.0
4850.0,12.0355,12.13,230.6,114.73658,12.28,3.963,1.699,5597.0,476.0
80.6,5.232,119.41,10.6,14.2005007,13.28,4.406,1.065,6332.0,843.0
18.5,2.6079,4581.82,11.1,0.566717263,0.43,4.438,0.957,5544.0,2096.0
725.5,3.8428,98.34,97.3,9.9267215,2.76,4.43,0.982,5475.0,803.0
644.5,2.3753,41379.77,37.1,2.858879267,515.07,2.501,16.274,4893.0,3638.0
312773.0,7.449,29671.05,198.8,1.080695116,155.22,3.937,2.34,7796.0,3344.0
34.9,3.662,4154.8,21.9,0.566798827,0.52,4.473,0.889,5548.0,2045.0
1003.0,2.834,79.66,10.5,11.8150174,3.48,4.514,0.939,5729.0,762.0
1008.7,2.335,145.48,70.6,4.783002698,2.5,4.574,0.807,5170.0,886.0
589.7,6.172,24.87,20.9,56.637918,3.68,4.09,1.522,5661.0,570.0
116.7,2.427,2018.62,27.3,2.464160779,36.93,3.84,1.883,5238.0,1709.0
180.2,3.304,567.24,24.8,2.61841046,1.12,4.566,0.82,5912.0,1245.0
1213.8,1.193,1816.13,136.4,1.389947459,3.39,4.461,0.95,5999.0,1665.0
305.1,1.713,325.63,11.3,3.7948721,16.1,4.58,0.793,5883.0,1083.0
371.9,1.992,283.66,18.0,3.24417541,1.84,4.469,0.87,5094.0,1047.0
1449.2,1.6493,138.33,31.6,6.230335,3.7,4.557,0.865,5477.0,875.0
