,Unnamed: 0,kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,phys_smass,phys_sma,theo_depth,phys_depth_residual,theo_duration,phys_duration_residual,theo_radius_ratio,theo_distance_ratio,phys_impact_parameter_squared,phys_thermal,phys_thermal_residual,Target
1607,1607,3962243,CONFIRMED,48.6478543,5.464,641.8,12.2,4.14,489.0,13.57,5779.0,4.477,0.974,1.037653708018477,0.264030494546505,1515.2491423567158,873.4491423567158,0.2656495560973359,5.198350443902664,0.03892485343378023,58.29143173740061,0.3448836089490913,1.0034717090511827,-0.0034717090511826587,1.0
1608,1608,6887321,FALSE POSITIVE,1.65746034,4.572,22.9,9.1,0.54,1663.0,1808.13,5860.0,4.326,1.13,0.9864871115221456,0.0272847545112022,19.152784010024288,3.747215989975711,0.1016113158120585,4.470388684187942,0.004376237850461941,5.192197423713876,-2.5060703904282944,0.9995887894543525,0.00041121054564752235,0.0
1609,1609,5436502,CONFIRMED,23.65369415,8.2183,3341.8,266.3,7.89,731.0,67.65,5739.0,4.191,1.384,1.084442947740034,0.1656770562840735,2725.731697216955,616.068302783045,0.2924914898891256,7.9258085101108735,0.052206732770503535,25.741619681197502,-0.26347456524607815,1.0017492243625763,-0.001749224362576296,1.0
1610,1610,10187017,CONFIRMED,7.07136119,2.757,65.7,22.4,0.63,719.0,63.11,4900.0,4.602,0.741,0.8008864473169632,0.0669555338649047,60.62419171597633,5.0758082840236725,0.11584446509038317,2.641155534909617,0.007785884254870434,19.430226328009795,0.03229971082689331,0.9984891278639159,0.0015108721360841404,1.0
1611,1611,9119652,FALSE POSITIVE,1.1080999,3.3542,380934.0,155.4,124.19,2212.0,5632.6,5299.0,3.865,1.769,0.8363541079960898,0.0197443795299946,413350.8801692359,32416.880169235927,0.1469615741589688,3.207238425841031,0.6429014361254751,2.4000774016460418,1.7947516137710022,0.9947848029266702,0.005215197073329847,0.0
1612,1612,12255382,FALSE POSITIVE,0.499664962,1.6123,34.3,31.6,0.5,2056.0,4230.98,5570.0,4.561,0.855,0.9702122595510284,0.0121993211847219,28.681975308641974,5.618024691358023,0.05183819639733621,1.5604618036026638,0.005355370122397653,3.068168035113603,-0.6687197847561499,1.0011732857893503,-0.0011732857893502757,0.0
1613,1613,12302530,CONFIRMED,52.6615266,3.1592,1078.1,38.4,1.87,271.0,1.28,3984.0,4.72,0.539,0.5560477131400775,0.2260964784273862,1009.5014825489374,68.59851745106255,0.18583561487920408,2.973364385120796,0.0317715529506326,90.20167931322885,0.5628181584087507,1.0034448951054782,-0.003444895105478185,1.0
1614,1614,5792202,CONFIRMED,31.33046135,5.176,5073.8,117.2,6.5,481.0,12.61,5251.0,4.581,0.817,0.9276382366115216,0.1896843740875515,5308.647376960519,234.8473769605189,0.19975507776320184,4.976244922236798,0.0728579423628518,49.925116788401894,-0.014631815884955879,0.9960829419519928,0.003917058048007238,1.0
1615,1615,11401767,CONFIRMED,30.0899459,6.654,242.6,16.6,2.25,660.0,44.79,6056.0,4.332,1.209,1.1449516052051538,0.1980633543916442,290.47831247036794,47.878312470367945,0.2718842906231157,6.382115709376884,0.017042834198449104,35.227953894483306,-0.005483890482017584,0.9980815832892218,0.0019184167107781924,1.0
1616,1616,5301750,CONFIRMED,4.22453631,3.128,159.1,16.7,1.6,1254.0,584.24,6036.0,4.326,1.131,0.9882338789739054,0.0509409171202188,167.8479470840653,8.747947084065316,0.13884026365969637,2.9891597363403037,0.01295516591943411,9.68531488323401,0.14486668898794153,0.9989916618889675,0.001008338111032514,1.0
1617,1617,9098810,FALSE POSITIVE,8.258181993,3.9122,311858.0,2981.6,58.19,809.0,101.33,5306.0,4.445,0.888,0.8012360110398203,0.0742626772054005,360140.5812892626,48282.58128926263,0.14617306409981562,3.766026935900184,0.6000963609146016,17.983210425703703,1.3166963400715646,1.0002410589099948,-0.00024105890999481794,0.0
1618,1618,5978559,CONFIRMED,95.6114617,7.489,487.4,21.6,2.37,421.0,7.45,6002.0,4.424,1.081,1.1313211765171056,0.4263792806580991,403.13135890347183,84.26864109652814,0.3588228540563649,7.130177145943635,0.02007743616562532,84.81643002263226,0.28430867643265645,1.0027406269661547,-0.0027406269661547356,1.0
1619,1619,5471574,FALSE POSITIVE,0.962827066,4.48,86.3,28.7,29.27,3399.0,31471.91,6534.0,3.647,3.028,1.4833589975815875,0.0217624823625608,7836.731757200911,7750.43175720091,0.19830618789285873,4.281693812107141,0.08852225190066401,1.545475595339049,0.298825015768152,0.9969632829701779,0.0030367170298221113,0.0
1620,1620,2166206,FALSE POSITIVE,8.09695764,3.319,283.5,35.4,34.0,1197.0,484.58,5949.0,4.024,1.707,1.1230564095690472,0.0820243096145721,33273.00844484391,32989.50844484391,0.24943267358198057,3.0695673264180194,0.18240258870310458,10.332814974924622,1.0906889940099338,0.9980438106184444,0.0019561893815556175,0.0
